eventtype,value,timestamp,interval,pid,event_num
initialized,,1646855304371,0,2371,0
window_resize,"[1028, 758]",1646855304371,0,2371,1
window_resize,"[1028, 758]",1646855304848,477,2371,2
window_resize,"[1536, 864]",1646855309449,4601,2371,3
focus,off,1646855358719,49270,2371,4
focus,on,1646855358720,1,2371,5
window_resize,"[1028, 758]",1646855358930,210,2371,6
initialized,,1646865626770,0,2204,0
window_resize,"[1024, 767]",1646865626770,0,2204,1
window_resize,"[1024, 767]",1646865627120,350,2204,2
window_resize,"[1920, 1080]",1646865630131,3011,2204,3
window_resize,"[1024, 767]",1646865648451,18320,2204,4
initialized,,1646856568516,0,1731,0
window_resize,"[1024, 767]",1646856568516,0,1731,1
window_resize,"[1024, 767]",1646856568853,337,1731,2
window_resize,"[1920, 1080]",1646856572105,3252,1731,3
focus,off,1646856640240,68135,1731,4
focus,on,1646856640241,1,1731,5
window_resize,"[1024, 767]",1646856640453,212,1731,6
focus,off,1646856647859,7406,1731,7
focus,on,1646856652457,4598,1731,8
focus,off,1646856654556,2099,1731,9
focus,on,1646856656909,2353,1731,10
focus,off,1646856661703,4794,1731,11
focus,on,1646856664381,2678,1731,12
focus,off,1646856667675,3294,1731,13
focus,on,1646856669843,2168,1731,14
focus,off,1646856673736,3893,1731,15
focus,on,1646856680032,6296,1731,16
focus,off,1646856681477,1445,1731,17
focus,on,1646856686991,5514,1731,18
focus,off,1646856831081,144090,1731,19
focus,on,1646856831138,57,1731,20
focus,off,1646856882847,51709,1731,21
focus,on,1646857214598,331751,1731,22
focus,off,1646857462169,247571,1731,23
focus,on,1646857482183,20014,1731,24
initialized,,1646852459607,0,2365,0
window_resize,"[1366, 676]",1646852459607,0,2365,1
window_resize,"[1366, 676]",1646852460047,440,2365,2
window_resize,"[1366, 768]",1646852464545,4498,2365,3
focus,off,1646852511449,46904,2365,4
focus,on,1646852511449,0,2365,5
window_resize,"[1366, 676]",1646852511700,251,2365,6
focus,off,1646852880630,368930,2365,7
focus,on,1646852880630,0,2365,8
focus,off,1646852915083,34453,2365,9
focus,on,1646852915083,0,2365,10
initialized,,1646881725447,0,2372,0
window_resize,"[1024, 767]",1646881725448,1,2372,1
window_resize,"[1024, 767]",1646881725796,348,2372,2
window_resize,"[2560, 1440]",1646881728665,2869,2372,3
window_resize,"[1024, 767]",1646882329501,600836,2372,4
initialized,,1646862134682,0,2373,0
window_resize,"[1024, 767]",1646862134683,1,2373,1
window_resize,"[1024, 767]",1646862135360,677,2373,2
window_resize,"[1280, 932]",1646862137190,1830,2373,3
window_resize,"[1280, 1024]",1646862140500,3310,2373,4
window_resize,"[1280, 932]",1646862826018,685518,2373,5
initialized,,1646852480100,0,1737,0
window_resize,"[1241, 832]",1646852480100,0,1737,1
focus,off,1646852480266,166,1737,2
window_resize,"[1241, 832]",1646852480462,196,1737,3
focus,on,1646852503799,23337,1737,4
focus,off,1646852605164,101365,1737,5
focus,on,1646852624487,19323,1737,6
focus,off,1646852647687,23200,1737,7
focus,on,1646852647687,0,1737,8
focus,off,1646852721597,73910,1737,9
focus,on,1646852721598,1,1737,10
focus,off,1646852824019,102421,1737,11
focus,on,1646852824838,819,1737,12
focus,off,1646852978522,153684,1737,13
focus,on,1646852984428,5906,1737,14
initialized,,1646852817730,0,2368,0
window_resize,"[899, 415]",1646852817730,0,2368,1
window_resize,"[899, 415]",1646852818117,387,2368,2
focus,on,1646852844988,26871,2368,3
window_resize,"[989, 456]",1646852852008,7020,2368,4
window_resize,"[1078, 498]",1646852852554,546,2368,5
window_resize,"[1191, 549]",1646852853039,485,2368,6
window_resize,"[1348, 622]",1646852853602,563,2368,7
window_resize,"[1366, 768]",1646852857274,3672,2368,8
focus,off,1646852872379,15105,2368,9
focus,on,1646852877455,5076,2368,10
focus,off,1646852883576,6121,2368,11
focus,on,1646853000697,117121,2368,12
focus,off,1646853069486,68789,2368,13
focus,on,1646853077014,7528,2368,14
focus,off,1646853077565,551,2368,15
focus,on,1646853218777,141212,2368,16
focus,off,1646853260498,41721,2368,17
focus,on,1646853265011,4513,2368,18
focus,off,1646853721945,456934,2368,19
focus,on,1646853762479,40534,2368,20
focus,off,1646853788289,25810,2368,21
focus,on,1646853806509,18220,2368,22
focus,off,1646853840312,33803,2368,23
focus,on,1646853840313,1,2368,24
focus,off,1646853881588,41275,2368,25
focus,on,1646853923845,42257,2368,26
focus,off,1646853928390,4545,2368,27
focus,on,1646853936341,7951,2368,28
focus,off,1646853964637,28296,2368,29
focus,on,1646853967408,2771,2368,30
focus,off,1646855175583,1208175,2368,31
focus,on,1646855218612,43029,2368,32
focus,off,1646855219615,1003,2368,33
focus,on,1646855312479,92864,2368,34
window_resize,"[1348, 622]",1646855412498,100019,2368,35
focus,off,1646855422622,10124,2368,36
focus,on,1646855451368,28746,2368,37
initialized,,1646854514742,0,2370,0
window_resize,"[1024, 767]",1646854514742,0,2370,1
window_resize,"[1024, 767]",1646854515082,340,2370,2
window_resize,"[1920, 1080]",1646854519151,4069,2370,3
focus,off,1646854574341,55190,2370,4
focus,on,1646854574341,0,2370,5
window_resize,"[1024, 767]",1646854574546,205,2370,6
window_resize,"[1920, 1024]",1646854624419,49873,2370,7
focus,off,1646854648178,23759,2370,8
focus,on,1646854655958,7780,2370,9
focus,off,1646854660300,4342,2370,10
focus,on,1646854661676,1376,2370,11
focus,off,1646854668796,7120,2370,12
focus,on,1646854670389,1593,2370,13
focus,off,1646854686367,15978,2370,14
focus,on,1646854689802,3435,2370,15
focus,off,1646854701675,11873,2370,16
focus,on,1646854702691,1016,2370,17
focus,off,1646854743849,41158,2370,18
focus,on,1646854752841,8992,2370,19
focus,off,1646854770353,17512,2370,20
focus,on,1646854779683,9330,2370,21
focus,off,1646854785329,5646,2370,22
focus,on,1646854789225,3896,2370,23
focus,off,1646854795459,6234,2370,24
focus,on,1646854806437,10978,2370,25
focus,off,1646854835003,28566,2370,26
focus,on,1646854835732,729,2370,27
focus,off,1646854842624,6892,2370,28
focus,on,1646854843486,862,2370,29
focus,off,1646854849681,6195,2370,30
focus,on,1646854850378,697,2370,31
focus,off,1646854883051,32673,2370,32
focus,on,1646854888650,5599,2370,33
focus,off,1646854897387,8737,2370,34
focus,on,1646854899042,1655,2370,35
focus,off,1646854907194,8152,2370,36
focus,on,1646854909696,2502,2370,37
focus,off,1646854927112,17416,2370,38
focus,on,1646854928234,1122,2370,39
focus,off,1646854933757,5523,2370,40
focus,on,1646854938118,4361,2370,41
focus,off,1646854946365,8247,2370,42
focus,on,1646854947270,905,2370,43
focus,off,1646854974680,27410,2370,44
focus,on,1646854977287,2607,2370,45
focus,off,1646854988100,10813,2370,46
focus,on,1646854989241,1141,2370,47
focus,off,1646855005536,16295,2370,48
focus,on,1646855007494,1958,2370,49
focus,off,1646855014745,7251,2370,50
focus,on,1646855016129,1384,2370,51
focus,off,1646855037001,20872,2370,52
focus,on,1646855038349,1348,2370,53
focus,off,1646855074954,36605,2370,54
focus,on,1646855080799,5845,2370,55
focus,off,1646855154859,74060,2370,56
focus,on,1646855156358,1499,2370,57
focus,off,1646855187661,31303,2370,58
focus,on,1646855189507,1846,2370,59
focus,off,1646855193834,4327,2370,60
focus,on,1646855206964,13130,2370,61
initialized,,1646858261835,0,1754,0
window_resize,"[1028, 758]",1646858261835,0,1754,1
window_resize,"[1028, 758]",1646858262163,328,1754,2
focus,off,1646858266093,3930,1754,3
focus,on,1646858273846,7753,1754,4
window_resize,"[1536, 864]",1646858275971,2125,1754,5
focus,off,1646858365008,89037,1754,6
focus,on,1646858365008,0,1754,7
window_resize,"[1028, 758]",1646858365215,207,1754,8
initialized,,1646852628085,0,2367,0
window_resize,"[1024, 660]",1646852628086,1,2367,1
window_resize,"[1024, 660]",1646852628562,476,2367,2
window_resize,"[1366, 676]",1646852629315,753,2367,3
focus,off,1646852632409,3094,2367,4
focus,on,1646852639824,7415,2367,5
window_resize,"[1366, 768]",1646852641413,1589,2367,6
window_resize,"[1366, 676]",1646853335273,693860,2367,7
initialized,,1646866902355,0,2374,0
window_resize,"[1024, 767]",1646866902355,0,2374,1
window_resize,"[1024, 767]",1646866902694,339,2374,2
focus,off,1646866906839,4145,2374,3
focus,on,1646866910875,4036,2374,4
window_resize,"[1920, 1080]",1646866912091,1216,2374,5
window_resize,"[1024, 767]",1646867471414,559323,2374,6
