success,trial_type,time_elapsed,internal_node_id,view_history,rt,responses,correct,pid,revealed_states,num_clicks_accrued,state_rewards,trial_id,block,trial_index,score,simulation_mode,rewards,path,actions,action_times,queries,displayed_time,trial_time,stimulus,button_pressed
,html-button-response,1009479,0.0-5.0,,3118,,,1731,,,,,,,,,,,,,,,,The secret code is <strong>HEDGEHOG</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,507862,0.0-5.0,,6035.0,,,2365,,,,,,,,,,,,,,,,The secret code is <strong>BIGHORN</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,609894,0.0-5.0,,6533,,,2372,,,,,,,,,,,,,,,,The secret code is <strong>CHINCHILLA</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,695035,0.0-5.0,,5319,,,2373,,,,,,,,,,,,,,,,The secret code is <strong>PORCUPINE</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,810366,0.0-5.0,,3122,,,1737,,,,,,,,,,,,,,,,The secret code is <strong>DROMEDARY</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,2633486,0.0-5.0,,40527,,,2368,,,,,,,,,,,,,,,,The secret code is <strong>ROOSTER</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,704992,0.0-5.0,,8010,,,2370,,,,,,,,,,,,,,,,The secret code is <strong>IGUANA</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,809311,0.0-5.0,,6257,,,1754,,,,,,,,,,,,,,,,The secret code is <strong>BIGHORN</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,712200,0.0-5.0,,5953,,,2367,,,,,,,,,,,,,,,,The secret code is <strong>PORCUPINE</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
,html-button-response,577746,0.0-5.0,,10047,,,2374,,,,,,,,,,,,,,,,The secret code is <strong>DROMEDARY</strong>. Please press the 'Finish HIT' button once you've copied it down to paste in the original window.,0
